Month/Year,Tmax (oC),Tmin (oC),AirFrost (Days),Rain (mm),Sun (Hours),Notes
Jan-59,4,-2,25,40.9,54.1,
Feb-59,6.6,2.1,10,41.8,17.8,
Mar-59,10.6,4.2,0,50.9,85.7,
Apr-59,13,5.2,0,76.3,125.1,
May-59,18.1,7.9,0,24,222,
Jun-59,18.1,10.3,0,81.6,187.3,
Jul-59,19.6,12.3,0,113.7,157.3,
Aug-59,20.3,12.6,0,14.7,165.2,
Sep-59,18.3,9.7,0,26.5,137.5,
Oct-59,15.2,8.7,0,140.7,105.5,
Nov-59,9.3,4.9,2,129.7,37.4,
Dec-59,7.4,2.9,3,199.8,13.5,
Jan-60,6.1,0.8,11,101.1,43.5,
Feb-60,5.8,0,16,107.2,84.4,
Mar-60,8.9,3.5,1,57,77.8,
Apr-60,14,6,0,107.7,154.1,
May-60,17.8,8.2,0,66.6,189.5,
Jun-60,21,11.3,0,63.9,244.2,
Jul-60,18.8,11.5,0,90.5,148.8,
Aug-60,19.4,11,0,86.5,180.2,
Sep-60,16.7,8.7,0,79,152.1,
Oct-60,12.6,7.7,0,78.7,54.9,
Nov-60,8.9,3.5,3,145.6,62.6,
Dec-60,5.6,0.8,12,142.7,29.1,
Jan-61,5.9,0.3,12,100.1,35.5,
Feb-61,9,4.4,1,127.6,52.6,
Mar-61,11.6,5.7,0,60.8,95.4,
Apr-61,12.4,5.8,2,95.7,96.5,
May-61,15.9,7.3,0,52.3,185.3,
Jun-61,17.3,9.7,0,37,153.5,
Jul-61,18.1,10.4,0,69.3,150.3,
Aug-61,18.4,11.2,0,146.2,160.4,
Sep-61,17.4,10.7,0,155.2,108.4,
Oct-61,13.5,7.5,0,149.9,103.3,
Nov-61,8.1,2.9,7,113.8,48.6,
Dec-61,4.2,-0.5,17,121.5,19.1,
Jan-62,6.7,1.6,6,220.1,37.4,
Feb-62,7.2,2.4,2,103.6,64.2,
Mar-62,7.5,0,14,38.4,104.7,
Apr-62,12.8,3.2,4,72.4,197.1,
May-62,15.8,7,2,62.4,198.8,
Jun-62,18.3,8.5,0,53.2,192.8,
Jul-62,17.9,9.9,0,76.7,137.8,
Aug-62,17.2,10.1,0,136.5,142,
Sep-62,14.8,9.1,0,181.8,74.1,
Oct-62,13.3,8.2,0,60.5,83.3,
Nov-62,7.8,3.2,7,68.3,27,
Dec-62,5.9,0.5,12,114,34.4,
Jan-63,2.5,-2.7,22,18.1,46.9,
Feb-63,3.9,-2.9,22,13.2,70.5,
Mar-63,9.8,2.8,6,153,85.7,
Apr-63,11.6,4.8,1,61.5,110.6,
May-63,14,6.4,0,95.7,193.5,
Jun-63,18.5,10.8,0,62,172.9,
Jul-63,18,10.7,0,80.2,151.2,
Aug-63,17.1,10.7,0,86.5,88.1,
Sep-63,15.8,9.2,0,90,128.4,
Oct-63,13.2,7.5,0,127.1,76.8,
Nov-63,8.5,3.7,6,191.6,34.9,
Dec-63,5.8,1.3,12,50.9,25.8,
Jan-64,6.8,2.5,7,61.9,21.8,
Feb-64,7.2,2.3,5,30.4,59.7,
Mar-64,7.4,2.2,3,55.4,57.7,
Apr-64,12.1,5.4,0,77.3,101.3,
May-64,16,8.7,0,85.8,167.7,
Jun-64,17.5,9.6,0,68,163.5,
Jul-64,17.9,11.5,0,58,126.7,
Aug-64,17.6,10.9,0,146.3,121.9,
Sep-64,16.4,9.4,0,131.5,132.9,
Oct-64,11.8,5.7,0,67.4,74,
Nov-64,8.8,3.8,3,95.6,31.3,
Dec-64,6,1.2,7,154.3,34.8,
Jan-65,5.1,0.6,13,127.2,54.2,
Feb-65,6.7,0.4,11,24,61.7,
Mar-65,8,1.2,9,68.5,99.5,
Apr-65,12,4.3,1,74.8,145.9,
May-65,14.8,7.6,0,86.3,134.5,
Jun-65,17.9,10.4,0,102.6,160.2,
Jul-65,16.8,9.6,0,98.2,147.3,
Aug-65,17.5,10,0,107.7,136.6,
Sep-65,15,9.2,0,144.2,70.5,
Oct-65,12.2,7.1,0,126.2,53.3,
Nov-65,6.2,1.4,13,55,68.5,
Dec-65,5.7,1.3,7,138.9,47.1,
Jan-66,4.7,1.1,12,71.9,22.8,
Feb-66,5.7,1.6,8,131.2,24.5,
Mar-66,9.9,4.2,1,92.9,128.6,
Apr-66,8.3,3.1,5,79.6,105.1,
May-66,15,6.7,0,87.9,208.2,
Jun-66,17.4,11.2,0,111.7,82,
Jul-66,18.5,10.9,0,33.6,195.3,
Aug-66,17.6,10.1,0,104.8,144.7,
Sep-66,16,10.7,0,115.7,94.7,
Oct-66,12,5.6,1,82.6,81.7,
Nov-66,7.5,2.3,6,99.9,58.9,
Dec-66,6.2,2.1,6,174.5,32.1,
Jan-67,6.3,2.6,10,90.9,51.4,
Feb-67,7.5,3.1,4,132.3,64.7,
Mar-67,9.1,3.7,1,138.6,108.1,
Apr-67,11.9,4.3,1,47.4,156,
May-67,13.2,6.3,0,121.2,129.7,
Jun-67,18.4,9.7,0,38.3,219,
Jul-67,17.5,11.2,0,77.6,124.5,
Aug-67,18.4,11.3,0,69.1,147.8,
Sep-67,16.5,9.8,0,108.7,101.1,
Oct-67,11.9,6.7,0,256.9,111.8,
Nov-67,8.3,3.3,0,82,46.7,
Dec-67,7.1,2.6,11,59,64.6,
Jan-68,6.5,2.2,10,89.3,38.8,
Feb-68,4.2,-0.8,16,69.3,56.6,
Mar-68,9.3,3,1,126.4,103.9,
Apr-68,12.3,4.1,4,53.7,157.1,
May-68,13.3,5.5,0,123.8,137,
Jun-68,19.3,10.1,0,27.6,202.2,
Jul-68,18.2,11,0,82.4,98.7,
Aug-68,19.1,11.2,0,69.6,156.4,
Sep-68,16,9.6,0,140.4,87.4,
Oct-68,13.5,8.9,0,161.9,64,
Nov-68,7.9,3.1,7,92.8,33.3,
Dec-68,5.8,1,13,46.4,22.1,
Jan-69,6.8,2.8,4,103,25,
Feb-69,4.1,-1.1,15,41.5,55.8,
Mar-69,6,0,14,20,68.7,
Apr-69,11.8,3.1,2,39.5,150.7,
May-69,14.2,6.6,0,112.3,121.3,
Jun-69,18.6,9.6,0,70.9,199.7,
Jul-69,19.5,11.8,0,54.1,161.2,
Aug-69,20.1,12.3,0,57.6,169.6,
Sep-69,16.2,10,0,72.9,108.8,
Oct-69,14.9,9.7,0,61.8,71.2,
Nov-69,6.6,0.9,13,146,44.3,
Dec-69,5.7,1,11,102.5,26.4,
Jan-70,5.5,0.9,9,100.1,23.6,
Feb-70,5.7,-0.9,15,114.2,109.4,
Mar-70,8.5,1.2,9,48.4,135.1,
Apr-70,10.8,2.7,5,83.9,123.9,
May-70,15.5,8.2,0,37.8,110.9,
Jun-70,20.1,11.1,0,56.3,188.2,
Jul-70,17.1,10.2,0,69.3,108.5,
Aug-70,19.6,11.7,0,89.7,142.7,
Sep-70,15.8,9.8,0,129.2,80,
Oct-70,12.3,6.9,0,151.5,76.7,
Nov-70,8.6,4,1,166.3,37.6,
Dec-70,7,2.6,6,65.5,39.1,
Jan-71,6.6,2.6,8,100.1,22.7,
Feb-71,7.7,3.3,4,105.8,44.3,
Mar-71,9.3,2.5,6,39.9,78.2,
Apr-71,12.4,4.2,0,38,132.7,
May-71,15.4,7.4,0,48.9,198.1,
Jun-71,16.1,8.7,0,31.1,164.1,
Jul-71,19.8,11.6,0,94.1,194.8,
Aug-71,17.9,11.6,0,98.5,97.8,
Sep-71,17.8,10.2,0,24.7,125.5,
Oct-71,14,7.7,2,137.3,84.5,
Nov-71,9.1,3.7,6,78.6,48.2,
